aligned_idx,ref_idx,0,1,X,Y,ref_X,ref_Y,Ref_Cell_Num_Old,Aligned_Cell_Num_Old,time_limit_reached,triangle_violation,filtered_violation,run_time
0,0,1,0,-5.230405706055032,-5.0779737045006215,-5.0,-5.0,0,0,False,False,False,9.069302082061768
1,1,0,1,-4.389099540688769,-4.964898936370606,-4.090909090909091,-5.0,1,1,False,False,False,9.069302082061768
2,2,1,0,-3.34271271682596,-4.940530321965053,-3.1818181818181817,-5.0,2,2,False,False,False,9.069302082061768
3,3,0,1,-2.1298351197875007,-4.924315494005805,-2.2727272727272734,-5.0,3,3,False,False,False,9.069302082061768
4,4,1,0,-1.1620594047607433,-5.118187211096876,-1.3636363636363633,-5.0,4,4,False,False,False,9.069302082061768
5,5,0,1,-0.41716996255647665,-5.265658007573293,-0.45454545454545503,-5.0,5,5,False,False,False,9.069302082061768
6,6,1,0,0.40995449992558797,-5.155614999545687,0.45454545454545414,-5.0,6,6,False,False,False,9.069302082061768
7,7,0,1,1.2819873198689784,-5.104965955201356,1.3636363636363633,-5.0,7,7,False,False,False,9.069302082061768
8,8,1,0,2.7849872766656354,-4.301497655006868,2.2727272727272734,-5.0,8,8,False,False,False,9.069302082061768
9,9,0,1,3.8047460903814994,-4.267672404336764,3.1818181818181817,-5.0,9,9,False,False,False,9.069302082061768
10,10,1,0,4.464235405884114,-4.327018286001618,4.09090909090909,-5.0,10,10,False,False,False,9.069302082061768
11,11,0,1,5.7694136612480555,-3.6935071230536165,5.0,-5.0,11,11,False,False,False,9.069302082061768
12,12,0,1,-5.327205148547822,-4.20187624960533,-5.0,-4.090909090909091,12,12,False,False,False,9.069302082061768
13,13,1,0,-4.555532229380291,-4.243607945429488,-4.090909090909091,-4.090909090909091,13,13,False,False,False,9.069302082061768
14,14,0,1,-3.4184989788731746,-4.236574917863888,-3.1818181818181817,-4.090909090909091,14,14,False,False,False,9.069302082061768
15,15,1,0,-2.3263019678327197,-4.281719720890729,-2.2727272727272734,-4.090909090909091,15,15,False,False,False,9.069302082061768
16,16,0,1,-1.3713580661154854,-4.398142564270193,-1.3636363636363633,-4.090909090909091,16,16,False,False,False,9.069302082061768
17,17,1,0,-0.35502859656307617,-4.280098442023613,-0.45454545454545503,-4.090909090909091,17,17,False,False,False,9.069302082061768
