,query_idx,ref_idx
0,0,0
1,1,3
2,2,5
3,3,6
4,4,9
5,5,10
6,6,11
7,7,12
8,8,13
9,9,15
10,10,16
11,11,18
12,12,21
13,13,24
14,14,25
15,15,27
16,16,28
17,17,30
18,18,31
19,19,33
20,20,34
21,21,36
22,22,37
23,23,39
24,24,40
25,25,42
26,26,43
27,27,45
28,28,46
29,29,48
30,30,49
31,31,51
32,32,52
33,33,53
34,34,54
35,35,55
36,36,57
37,37,59
38,38,60
39,39,61
40,40,63
41,41,64
42,42,66
43,43,67
44,44,70
45,45,72
46,46,73
47,47,75
48,48,76
49,49,79
50,50,81
51,51,82
52,52,84
53,53,85
54,54,87
55,55,88
56,56,90
57,57,91
58,58,93
59,59,94
60,60,96
61,61,97
62,62,100
63,63,101
64,64,102
65,65,103
66,66,104
67,67,105
68,68,106
69,69,107
70,70,108
71,71,109
72,72,110
73,73,111
74,74,112
75,75,113
76,76,114
77,77,115
78,78,116
79,79,117
80,80,118
81,81,119
82,82,120
83,83,121
84,84,122
85,85,123
86,86,124
87,87,125
88,88,126
89,89,127
90,90,128
91,91,129
92,92,130
93,93,131
94,94,132
95,95,133
96,96,134
97,97,135
98,98,136
99,99,137
100,100,138
101,101,139
102,102,140
103,103,141
104,104,142
105,105,143
106,106,144
107,107,145
108,108,146
109,109,147
110,110,148
111,111,149
112,112,150
113,113,151
114,114,152
115,115,153
116,116,154
117,117,155
118,118,156
119,119,157
120,120,158
121,121,159
122,122,160
123,123,161
124,124,162
125,125,163
126,126,164
127,127,165
128,128,166
129,129,167
130,130,168
131,131,169
132,132,170
133,133,171
134,134,172
135,135,173
136,136,174
137,137,175
138,138,176
139,139,177
140,140,178
141,141,179
142,142,180
143,143,181
144,144,182
145,145,183
146,146,184
147,147,185
148,148,186
149,149,187
150,150,188
151,151,189
152,152,190
153,153,191
154,154,192
155,155,193
156,156,194
157,157,195
158,158,196
159,159,197
160,160,198
161,161,199
162,162,200
163,163,201
164,164,202
165,165,203
166,166,204
167,167,205
168,168,206
169,169,207
170,170,208
171,171,209
172,172,210
173,173,211
174,174,212
175,175,213
176,176,214
177,177,215
178,178,216
179,179,218
180,180,217
181,181,219
182,182,220
183,183,221
184,184,222
185,185,233
186,186,224
187,187,225
188,188,226
189,189,227
190,190,228
191,191,229
192,192,230
193,193,231
194,194,232
195,195,223
196,196,234
197,197,235
198,198,236
199,199,237
200,200,238
201,201,239
202,202,240
203,203,241
204,204,242
205,205,243
206,206,244
207,207,245
208,208,246
209,209,247
210,210,248
211,211,249
212,212,250
213,213,251
214,214,252
215,215,253
216,216,254
217,217,255
218,218,256
219,219,257
220,220,258
221,221,259
222,222,260
223,223,261
224,224,262
225,225,263
226,226,264
227,227,265
228,228,266
229,229,267
230,230,268
231,231,269
232,232,270
233,233,272
234,234,271
235,235,273
236,236,274
237,237,275
238,238,276
239,239,277
240,240,278
241,241,279
242,242,280
243,243,281
244,244,282
245,245,283
246,246,284
247,247,285
248,248,286
249,249,287
250,250,288
251,251,289
252,252,290
253,253,291
254,254,292
255,255,293
256,256,294
257,257,295
258,258,296
259,259,297
260,260,298
261,261,299
262,262,300
263,263,301
264,264,302
265,265,303
266,266,304
267,267,305
268,268,306
269,269,307
270,270,308
271,271,309
272,272,310
273,273,311
274,274,312
275,275,313
276,276,314
277,277,315
278,278,316
279,279,317
280,280,318
281,281,319
282,282,320
283,283,321
284,284,322
285,285,323
286,286,324
287,287,325
288,288,326
289,289,327
290,290,328
291,291,329
292,292,330
293,293,331
294,294,332
295,295,333
296,296,334
297,297,335
298,298,336
299,299,337
300,300,338
301,301,339
302,302,340
303,303,341
304,304,342
305,305,343
306,306,344
307,307,345
308,308,346
309,309,347
310,310,348
311,311,349
312,312,350
313,313,351
314,314,352
315,315,353
316,316,354
317,317,355
318,318,356
319,319,357
320,320,358
321,321,359
322,322,360
323,323,361
324,324,362
325,325,363
326,326,364
327,327,365
328,328,366
329,329,367
330,330,368
331,331,369
332,332,370
333,333,371
334,334,372
335,335,373
336,336,374
337,337,375
338,338,376
339,339,377
340,340,378
341,341,379
342,342,380
343,343,381
344,344,382
345,345,383
346,346,384
347,347,385
348,348,386
349,349,387
350,350,388
351,351,389
352,352,299
353,353,299
354,354,299
355,355,299
356,356,299
357,357,299
358,358,299
359,359,299
360,360,299
361,361,299
362,362,299
363,363,299
364,364,299
365,365,299
366,366,299
367,367,299
368,368,299
369,369,299
370,370,299
371,371,299
